sensor_id,neighbor_id,distance_km
692c454c-a1ad-41fa-b3ca-aa1cb7d55d30,be427cee-4c3a-4aa2-a1ce-9795a74533be,2.588767
c3f3da9b-9fd3-4037-94d3-598d655e6be9,d7060523-b163-4cc3-bc94-970dac72a38a,1.326818
d7060523-b163-4cc3-bc94-970dac72a38a,c3f3da9b-9fd3-4037-94d3-598d655e6be9,1.326818
c3f3da9b-9fd3-4037-94d3-598d655e6be9,87f82783-853b-417d-8964-b5cf11e44873,1.230683
87f82783-853b-417d-8964-b5cf11e44873,c3f3da9b-9fd3-4037-94d3-598d655e6be9,1.230683
c3f3da9b-9fd3-4037-94d3-598d655e6be9,e20e9778-a020-4b86-932a-b7ab6a713a00,1.325329
e20e9778-a020-4b86-932a-b7ab6a713a00,c3f3da9b-9fd3-4037-94d3-598d655e6be9,1.325329
c3f3da9b-9fd3-4037-94d3-598d655e6be9,2819ecbb-5de3-4092-aa1d-4ba3a8c40add,4.309997
2819ecbb-5de3-4092-aa1d-4ba3a8c40add,c3f3da9b-9fd3-4037-94d3-598d655e6be9,4.309997
c3f3da9b-9fd3-4037-94d3-598d655e6be9,a9a2083f-f086-4fae-bdae-355b391f436b,3.620108
a9a2083f-f086-4fae-bdae-355b391f436b,c3f3da9b-9fd3-4037-94d3-598d655e6be9,3.620108
c3f3da9b-9fd3-4037-94d3-598d655e6be9,a17013e7-8d1d-4b0d-8e2f-e0881dbca3ac,3.257927
a17013e7-8d1d-4b0d-8e2f-e0881dbca3ac,c3f3da9b-9fd3-4037-94d3-598d655e6be9,3.257927
c3f3da9b-9fd3-4037-94d3-598d655e6be9,d851c0b9-990e-41db-9c53-529f88524cf9,4.058324
d851c0b9-990e-41db-9c53-529f88524cf9,c3f3da9b-9fd3-4037-94d3-598d655e6be9,4.058324
c3f3da9b-9fd3-4037-94d3-598d655e6be9,30dab8a6-ff63-43ce-9a3b-99f1f3f7054d,4.084168
30dab8a6-ff63-43ce-9a3b-99f1f3f7054d,c3f3da9b-9fd3-4037-94d3-598d655e6be9,4.084168
c3f3da9b-9fd3-4037-94d3-598d655e6be9,16836a55-7140-43e2-9a63-56fac5cba714,2.690053
16836a55-7140-43e2-9a63-56fac5cba714,c3f3da9b-9fd3-4037-94d3-598d655e6be9,2.690053
c3f3da9b-9fd3-4037-94d3-598d655e6be9,2001,0.974327
2001,c3f3da9b-9fd3-4037-94d3-598d655e6be9,0.974327
c3f3da9b-9fd3-4037-94d3-598d655e6be9,2002,1.771388
2002,c3f3da9b-9fd3-4037-94d3-598d655e6be9,1.771388
c3f3da9b-9fd3-4037-94d3-598d655e6be9,24039f11-a4fc-4b2d-8bc0-6fd36059f117,3.254193
24039f11-a4fc-4b2d-8bc0-6fd36059f117,c3f3da9b-9fd3-4037-94d3-598d655e6be9,3.254193
c3f3da9b-9fd3-4037-94d3-598d655e6be9,874ff9c6-786d-45fc-a90e-48c7ffe03417,3.498059
874ff9c6-786d-45fc-a90e-48c7ffe03417,c3f3da9b-9fd3-4037-94d3-598d655e6be9,3.498059
c3f3da9b-9fd3-4037-94d3-598d655e6be9,23b735ef-a996-4a7f-9998-2aa7e78827b0,0.670618
23b735ef-a996-4a7f-9998-2aa7e78827b0,c3f3da9b-9fd3-4037-94d3-598d655e6be9,0.670618
c3f3da9b-9fd3-4037-94d3-598d655e6be9,ece1058a-ecab-4736-872f-790145aaadfe,10.177001
ece1058a-ecab-4736-872f-790145aaadfe,c3f3da9b-9fd3-4037-94d3-598d655e6be9,10.177001
c3f3da9b-9fd3-4037-94d3-598d655e6be9,40f081a6-4095-43f7-bffb-64e2af8c026e,0.706430
40f081a6-4095-43f7-bffb-64e2af8c026e,c3f3da9b-9fd3-4037-94d3-598d655e6be9,0.706430
c3f3da9b-9fd3-4037-94d3-598d655e6be9,7b316592-8036-41e2-b8dc-b06b6a9afd54,1.695388
7b316592-8036-41e2-b8dc-b06b6a9afd54,c3f3da9b-9fd3-4037-94d3-598d655e6be9,1.695388
c3f3da9b-9fd3-4037-94d3-598d655e6be9,692c454c-a1ad-41fa-b3ca-aa1cb7d55d30,3.739480
